2000	0.29000000000000004	0.132
2000	0.3	0.123
2000	0.31	0.116
2000	0.32	0.109
2002	0.29000000000000004	0.132
2002	0.3	0.124
2002	0.31	0.116
2002	0.32	0.109
2004	0.29000000000000004	0.132
2004	0.3	0.124
2004	0.31	0.116
2004	0.32	0.109
2006	0.29000000000000004	0.132
2006	0.3	0.124
2006	0.31	0.116
2006	0.32	0.11
2008	0.3	0.124
2008	0.31	0.117
2008	0.32	0.11
2010	0.3	0.124
2010	0.31	0.117
2010	0.32	0.11
2012	0.3	0.125
2012	0.31	0.117
2012	0.32	0.11
2014	0.3	0.125
2014	0.31	0.117
2014	0.32	0.11
2016	0.3	0.125
2016	0.31	0.118
2016	0.32	0.111
2018	0.3	0.125
2018	0.31	0.118
2018	0.32	0.111
2020	0.3	0.126
2020	0.31	0.118
2020	0.32	0.111
2022	0.3	0.126
2022	0.31	0.118
2022	0.32	0.111
2024	0.3	0.126
2024	0.31	0.118
2024	0.32	0.111
2026	0.3	0.126
2026	0.31	0.119
2026	0.32	0.112
2028	0.3	0.127
2028	0.31	0.119
2028	0.32	0.112
2030	0.3	0.127
2030	0.31	0.119
2030	0.32	0.112
2032	0.3	0.127
2032	0.31	0.119
2032	0.32	0.112
2034	0.3	0.127
2034	0.31	0.12
2034	0.32	0.113
2036	0.3	0.128
2036	0.31	0.12
2036	0.32	0.113
2038	0.3	0.128
2038	0.31	0.12
2038	0.32	0.113
2040	0.3	0.128
2040	0.31	0.12
2040	0.32	0.113
2042	0.3	0.128
2042	0.31	0.121
2042	0.32	0.113
2044	0.3	0.129
2044	0.31	0.121
2044	0.32	0.114
2046	0.3	0.129
2046	0.31	0.121
2046	0.32	0.114
2048	0.3	0.129
2048	0.31	0.121
2048	0.32	0.114
2048	0.33	0.108
2050	0.3	0.129
2050	0.31	0.121
2050	0.32	0.114
2050	0.33	0.108
2052	0.3	0.13
2052	0.31	0.122
2052	0.32	0.114
2052	0.33	0.108
2054	0.3	0.13
2054	0.31	0.122
2054	0.32	0.115
2054	0.33	0.108
2056	0.3	0.13
2056	0.31	0.122
2056	0.32	0.115
2056	0.33	0.108
2058	0.3	0.13
2058	0.31	0.122
2058	0.32	0.115
2058	0.33	0.109
2060	0.3	0.131
2060	0.31	0.123
2060	0.32	0.115
2060	0.33	0.109
2062	0.3	0.131
2062	0.31	0.123
2062	0.32	0.116
2062	0.33	0.109
2064	0.3	0.131
2064	0.31	0.123
2064	0.32	0.116
2064	0.33	0.109
2066	0.3	0.131
2066	0.31	0.123
2066	0.32	0.116
2066	0.33	0.109
2068	0.3	0.131
2068	0.31	0.123
2068	0.32	0.116
2068	0.33	0.11
2070	0.3	0.132
2070	0.31	0.124
2070	0.32	0.116
2070	0.33	0.11
2072	0.3	0.132
2072	0.31	0.124
2072	0.32	0.117
2072	0.33	0.11
2074	0.3	0.132
2074	0.31	0.124
2074	0.32	0.117
2074	0.33	0.11
2076	0.3	0.132
2076	0.31	0.124
2076	0.32	0.117
2076	0.33	0.11
2078	0.31	0.125
2078	0.32	0.117
2078	0.33	0.111
2080	0.31	0.125
2080	0.32	0.117
2080	0.33	0.111
2082	0.31	0.125
2082	0.32	0.118
2082	0.33	0.111
2084	0.31	0.125
2084	0.32	0.118
2084	0.33	0.111
2086	0.31	0.126
2086	0.32	0.118
2086	0.33	0.111
2088	0.31	0.126
2088	0.32	0.118
2088	0.33	0.112
2090	0.31	0.126
2090	0.32	0.119
2090	0.33	0.112
2092	0.31	0.126
2092	0.32	0.119
2092	0.33	0.112
2094	0.31	0.126
2094	0.32	0.119
2094	0.33	0.112
2096	0.31	0.127
2096	0.32	0.119
2096	0.33	0.112
2098	0.31	0.127
2098	0.32	0.119
2098	0.33	0.113
2100	0.31	0.127
2100	0.32	0.12
2100	0.33	0.113
2102	0.31	0.127
2102	0.32	0.12
2102	0.33	0.113
2104	0.31	0.128
2104	0.32	0.12
2104	0.33	0.113
2106	0.31	0.128
2106	0.32	0.12
2106	0.33	0.113
2108	0.31	0.128
2108	0.32	0.121
2108	0.33	0.114
2110	0.31	0.128
2110	0.32	0.121
2110	0.33	0.114
2110	0.34	0.108
2112	0.31	0.129
2112	0.32	0.121
2112	0.33	0.114
2112	0.34	0.108
2114	0.31	0.129
2114	0.32	0.121
2114	0.33	0.114
2114	0.34	0.108
2116	0.31	0.129
2116	0.32	0.121
2116	0.33	0.114
2116	0.34	0.108
2118	0.31	0.129
2118	0.32	0.122
2118	0.33	0.115
2118	0.34	0.108
2120	0.31	0.13
2120	0.32	0.122
2120	0.33	0.115
2120	0.34	0.109
2122	0.31	0.13
2122	0.32	0.122
2122	0.33	0.115
2122	0.34	0.109
2124	0.31	0.13
2124	0.32	0.122
2124	0.33	0.115
2124	0.34	0.109
2126	0.31	0.13
2126	0.32	0.123
2126	0.33	0.116
2126	0.34	0.109
2128	0.31	0.13
2128	0.32	0.123
2128	0.33	0.116
2128	0.34	0.109
2130	0.31	0.131
2130	0.32	0.123
2130	0.33	0.116
2130	0.34	0.11
2132	0.31	0.131
2132	0.32	0.123
2132	0.33	0.116
2132	0.34	0.11
2134	0.31	0.131
2134	0.32	0.123
2134	0.33	0.116
2134	0.34	0.11
2136	0.31	0.131
2136	0.32	0.124
2136	0.33	0.117
2136	0.34	0.11
2138	0.31	0.132
2138	0.32	0.124
2138	0.33	0.117
2138	0.34	0.11
2140	0.31	0.132
2140	0.32	0.124
2140	0.33	0.117
2140	0.34	0.111
2142	0.31	0.132
2142	0.32	0.124
2142	0.33	0.117
2142	0.34	0.111
2144	0.31	0.132
2144	0.32	0.125
2144	0.33	0.117
2144	0.34	0.111
2146	0.32	0.125
2146	0.33	0.118
2146	0.34	0.111
2148	0.32	0.125
2148	0.33	0.118
2148	0.34	0.111
2150	0.32	0.125
2150	0.33	0.118
2150	0.34	0.112
2152	0.32	0.125
2152	0.33	0.118
2152	0.34	0.112
2154	0.32	0.126
2154	0.33	0.118
2154	0.34	0.112
2156	0.32	0.126
2156	0.33	0.119
