8,94166332116  364,161473475
9,1798305529  319,98364225
9,34173791228  281,170802859
9,50664770669  251,090448906
9,67461807717  227,880778233
9,93184785495  190,760691397
10,1070187637  167,622120859
10,2854380687  149,689488186
10,4668453516  131,5327036
10,6516166791  117,461006822
10,9353296715  103,211359583
11,1285430347  93,6709661668
11,324645498  80,9897231862
11,6266442047  73,5019315117
11,7283650276  66,7090746195
11,9354059748  59,5723713912
12,146289414  54,065769578
12,3610898088  49,8674795945
12,8021536529  42,4235959242
13,3749571911  32,7554598578
13,7318444381  30,211345446
14,0973836403  26,1207906215
14,3466880549  24,0924711417
14,9897558344  20,1671818366
15,6604387064  15,5711768581
16,0778133682  13,9050561202
16,6527819187  12,8247954856
16,7987355753  11,829166408
17,3997542016  11,0879018321
18,6664932014  9,43202138349
20,0266906843  8,55914326568
21,6756571771  7,64239749937
22,4515071645  7,28018444159
24,0878845876  6,71406327707
26,3025889375  6,19171774619
27,7284189395  5,99410175914
29,7512418743  5,89708345484
31,9245905634  6,39227732457
32,7804922707  6,70937712115
34,257232963  7,04192623253
36,1165053192  7,27234622771
36,7603151543  7,75759913822
37,7458631582  8,14242804719
39,7963208513  8,82652165608
42,7034694711  9,56770828648
45,8244027772  10,7117719266
47,8895031268  11,4258393566
51,3878642803  12,3852976463
54,6576255174  13,2103984655
59,6940559338  14,789448585
62,9358269636  15,7750271314
66,3536470027  16,8262852781
69,3439083333  17,9479579917
72,4666888255  18,5356057551
79,142914166  20,4185698169
86,4328731534  22,1322886959
90,3266200771  23,22927174
96,9250418224  25,1798958158
103,093882885  27,2948635042
109,653649218  29,1132303194
115,606761828  30,5556129711
122,962710823  32,5912088859
133,111937181  35,327275122
141,581723939  37,6807561989
147,962177363  40,1926282703
160,174836148  43,5668416522
173,392838243  46,4673835561
196,160491151  52,8648687091
214,232403406  58,2352164186
231,91852616  64,1523977582
260,063303206  70,6651748926
291,623626599  77,8391317722
312,926933172  84,3754918515
347,826957943  92,9431796825
393,498991061  105,739308205
425,964869106  110,971403346
461,137852458  124,238387567
545,181687613  145,970966695
661,823039314  180,012953374
742,139442638  198,287940554
869,706394621  232,978392109
1010,25211381  269,355668867
1173,49208507  306,421382706
1270,37063723  337,556338482
1437,15670091  377,874579927
1654,79651994  444,001406785
1939,24083872  521,679399957
2193,87628254  593,502600672
2616,69235225  708,666933975
2986,41170828  793,295362875
3408,47497122  917,19719815
3924,58623594  1060,42964318
4806,30280088  1286,74633589
5583,09400553  1511,89261392
6371,84565312  1665,31411503
7533,36741826  2020,88638652
8522,54953413  2299,11575225
9307,42914344  2452,13465725
9899,65206331  2615,49434162
