Mass DM,SSHH,omega,SI 1,SI 2
952.0,0.14,0.127,1.321e-09,7.611e-10
954.0,0.14,0.128,1.318e-09,7.579e-10
956.0,0.14,0.128,1.315e-09,7.547e-10
958.0,0.14,0.129,1.313e-09,7.516e-10
960.0,0.14,0.129,1.310e-09,7.484e-10
962.0,0.14,0.13,1.307e-09,7.453e-10
964.0,0.14,0.13,1.304e-09,7.422e-10
966.0,0.14,0.131,1.302e-09,7.392e-10
968.0,0.14,0.131,1.299e-09,7.361e-10
970.0,0.14,0.132,1.296e-09,7.331e-10
972.0,0.14,0.132,1.294e-09,7.301e-10
974.0,0.15000000000000002,0.11699999999999999,1.383e-09,8.347e-10
976.0,0.15000000000000002,0.11699999999999999,1.380e-09,8.313e-10
978.0,0.15000000000000002,0.11699999999999999,1.377e-09,8.279e-10
980.0,0.15000000000000002,0.11800000000000001,1.375e-09,8.245e-10
982.0,0.15000000000000002,0.11800000000000001,1.372e-09,8.211e-10
984.0,0.15000000000000002,0.11900000000000001,1.369e-09,8.178e-10
986.0,0.15000000000000002,0.11900000000000001,1.366e-09,8.145e-10
988.0,0.15000000000000002,0.12,1.364e-09,8.112e-10
990.0,0.15000000000000002,0.12,1.361e-09,8.079e-10
992.0,0.15000000000000002,0.121,1.358e-09,8.047e-10
994.0,0.15000000000000002,0.121,1.355e-09,8.015e-10
996.0,0.15000000000000002,0.122,1.353e-09,7.982e-10
998.0,0.15000000000000002,0.122,1.350e-09,7.951e-10
1000.0,0.15000000000000002,0.12300000000000001,1.347e-09,7.919e-10
1002.0,0.15000000000000002,0.12300000000000001,1.345e-09,7.887e-10
1004.0,0.15000000000000002,0.124,1.342e-09,7.856e-10
1006.0,0.15000000000000002,0.124,1.339e-09,7.825e-10
1008.0,0.15000000000000002,0.124,1.337e-09,7.794e-10
1010.0,0.15000000000000002,0.125,1.334e-09,7.763e-10
1012.0,0.15000000000000002,0.125,1.331e-09,7.732e-10
1014.0,0.15000000000000002,0.126,1.329e-09,7.702e-10
1016.0,0.15000000000000002,0.126,1.326e-09,7.672e-10
1018.0,0.15000000000000002,0.127,1.323e-09,7.642e-10
1020.0,0.15000000000000002,0.127,1.321e-09,7.612e-10
1022.0,0.15000000000000002,0.128,1.318e-09,7.582e-10
1024.0,0.15000000000000002,0.128,1.316e-09,7.552e-10
1026.0,0.15000000000000002,0.129,1.313e-09,7.523e-10
1028.0,0.15000000000000002,0.129,1.311e-09,7.494e-10
1030.0,0.15000000000000002,0.13,1.308e-09,7.465e-10
1032.0,0.15000000000000002,0.13,1.305e-09,7.436e-10
1034.0,0.15000000000000002,0.131,1.303e-09,7.407e-10
1036.0,0.15000000000000002,0.131,1.300e-09,7.379e-10
1038.0,0.15000000000000002,0.132,1.298e-09,7.350e-10
1040.0,0.15000000000000002,0.132,1.295e-09,7.322e-10
1042.0,0.16,0.11699999999999999,1.379e-09,8.299e-10
1044.0,0.16,0.11800000000000001,1.376e-09,8.267e-10
1046.0,0.16,0.11800000000000001,1.374e-09,8.235e-10
1048.0,0.16,0.11900000000000001,1.371e-09,8.204e-10
1050.0,0.16,0.11900000000000001,1.369e-09,8.173e-10
1052.0,0.16,0.11900000000000001,1.366e-09,8.142e-10
1054.0,0.16,0.12,1.363e-09,8.111e-10
1056.0,0.16,0.12,1.361e-09,8.080e-10
1058.0,0.16,0.121,1.358e-09,8.050e-10
1060.0,0.16,0.121,1.356e-09,8.020e-10
1062.0,0.16,0.122,1.353e-09,7.989e-10
1064.0,0.16,0.122,1.351e-09,7.959e-10
1066.0,0.16,0.12300000000000001,1.348e-09,7.930e-10
1068.0,0.16,0.12300000000000001,1.346e-09,7.900e-10
1070.0,0.16,0.12300000000000001,1.343e-09,7.871e-10
1072.0,0.16,0.124,1.340e-09,7.841e-10
1074.0,0.16,0.124,1.338e-09,7.812e-10
1076.0,0.16,0.125,1.336e-09,7.783e-10
1078.0,0.16,0.125,1.333e-09,7.754e-10
1080.0,0.16,0.126,1.331e-09,7.726e-10
1082.0,0.16,0.126,1.328e-09,7.697e-10
1084.0,0.16,0.127,1.326e-09,7.669e-10
1086.0,0.16,0.127,1.323e-09,7.641e-10
1088.0,0.16,0.127,1.321e-09,7.612e-10
1090.0,0.16,0.128,1.318e-09,7.585e-10
1092.0,0.16,0.128,1.316e-09,7.557e-10
1094.0,0.16,0.129,1.314e-09,7.529e-10
1096.0,0.16,0.129,1.311e-09,7.502e-10
1098.0,0.16,0.13,1.309e-09,7.475e-10
1100.0,0.16,0.13,1.306e-09,7.447e-10
1102.0,0.16,0.131,1.304e-09,7.420e-10
1104.0,0.16,0.131,1.302e-09,7.394e-10
1106.0,0.16,0.131,1.299e-09,7.367e-10
1108.0,0.16,0.132,1.297e-09,7.340e-10
1110.0,0.16,0.132,1.295e-09,7.314e-10
1112.0,0.17,0.11800000000000001,1.373e-09,8.227e-10
1114.0,0.17,0.11900000000000001,1.371e-09,8.198e-10
1116.0,0.17,0.11900000000000001,1.368e-09,8.168e-10
1118.0,0.17,0.12,1.366e-09,8.139e-10
1120.0,0.17,0.12,1.363e-09,8.110e-10
1122.0,0.17,0.12,1.361e-09,8.081e-10
1124.0,0.17,0.121,1.358e-09,8.053e-10
1126.0,0.17,0.121,1.356e-09,8.024e-10
1128.0,0.17,0.122,1.354e-09,7.996e-10
1130.0,0.17,0.122,1.351e-09,7.967e-10
1132.0,0.17,0.122,1.349e-09,7.939e-10
1134.0,0.17,0.12300000000000001,1.346e-09,7.911e-10
1136.0,0.17,0.12300000000000001,1.344e-09,7.883e-10
1138.0,0.17,0.124,1.342e-09,7.856e-10
1140.0,0.17,0.124,1.339e-09,7.828e-10
1142.0,0.17,0.125,1.337e-09,7.801e-10
1144.0,0.17,0.125,1.335e-09,7.774e-10
1146.0,0.17,0.125,1.332e-09,7.747e-10
1148.0,0.17,0.126,1.330e-09,7.720e-10
1150.0,0.17,0.126,1.328e-09,7.693e-10
1152.0,0.17,0.127,1.325e-09,7.666e-10
1154.0,0.17,0.127,1.323e-09,7.640e-10
1156.0,0.17,0.127,1.321e-09,7.613e-10
1158.0,0.17,0.128,1.318e-09,7.587e-10
1160.0,0.17,0.128,1.316e-09,7.561e-10
1162.0,0.17,0.129,1.314e-09,7.535e-10
1164.0,0.17,0.129,1.312e-09,7.509e-10
1166.0,0.17,0.13,1.309e-09,7.483e-10
1168.0,0.17,0.13,1.307e-09,7.458e-10
1170.0,0.17,0.13,1.305e-09,7.432e-10
1172.0,0.17,0.131,1.303e-09,7.407e-10
1174.0,0.17,0.131,1.301e-09,7.382e-10
1176.0,0.17,0.132,1.298e-09,7.357e-10
1178.0,0.17,0.132,1.296e-09,7.332e-10
1180.0,0.18000000000000002,0.11900000000000001,1.370e-09,8.192e-10
1182.0,0.18000000000000002,0.11900000000000001,1.368e-09,8.164e-10
1184.0,0.18000000000000002,0.12,1.365e-09,8.137e-10
1186.0,0.18000000000000002,0.12,1.363e-09,8.109e-10
1188.0,0.18000000000000002,0.12,1.361e-09,8.082e-10
1190.0,0.18000000000000002,0.121,1.359e-09,8.055e-10
1192.0,0.18000000000000002,0.121,1.356e-09,8.028e-10
1194.0,0.18000000000000002,0.122,1.354e-09,8.001e-10
1196.0,0.18000000000000002,0.122,1.352e-09,7.974e-10
1198.0,0.18000000000000002,0.122,1.349e-09,7.948e-10
1200.0,0.18000000000000002,0.12300000000000001,1.347e-09,7.921e-10
1202.0,0.18000000000000002,0.12300000000000001,1.345e-09,7.895e-10
1204.0,0.18000000000000002,0.124,1.343e-09,7.869e-10
1206.0,0.18000000000000002,0.124,1.340e-09,7.843e-10
1208.0,0.18000000000000002,0.124,1.338e-09,7.817e-10
1210.0,0.18000000000000002,0.125,1.336e-09,7.791e-10
1212.0,0.18000000000000002,0.125,1.334e-09,7.765e-10
1214.0,0.18000000000000002,0.126,1.332e-09,7.740e-10
1216.0,0.18000000000000002,0.126,1.329e-09,7.714e-10
1218.0,0.18000000000000002,0.126,1.327e-09,7.689e-10
1220.0,0.18000000000000002,0.127,1.325e-09,7.664e-10
1222.0,0.18000000000000002,0.127,1.323e-09,7.639e-10
1224.0,0.18000000000000002,0.128,1.321e-09,7.614e-10
1226.0,0.18000000000000002,0.128,1.319e-09,7.589e-10
1228.0,0.18000000000000002,0.128,1.316e-09,7.564e-10
1230.0,0.18000000000000002,0.129,1.314e-09,7.540e-10
1232.0,0.18000000000000002,0.129,1.312e-09,7.515e-10
1234.0,0.18000000000000002,0.13,1.310e-09,7.491e-10
1236.0,0.18000000000000002,0.13,1.308e-09,7.467e-10
1238.0,0.18000000000000002,0.13,1.306e-09,7.443e-10
1240.0,0.18000000000000002,0.131,1.304e-09,7.419e-10
1242.0,0.18000000000000002,0.131,1.302e-09,7.395e-10
1244.0,0.18000000000000002,0.132,1.300e-09,7.371e-10
1246.0,0.18000000000000002,0.132,1.297e-09,7.348e-10
1248.0,0.18000000000000002,0.132,1.295e-09,7.324e-10
1250.0,0.19,0.12,1.365e-09,8.134e-10
1252.0,0.19,0.12,1.363e-09,8.108e-10
1254.0,0.19,0.12,1.361e-09,8.083e-10
1256.0,0.19,0.121,1.359e-09,8.057e-10
1258.0,0.19,0.121,1.356e-09,8.031e-10
1260.0,0.19,0.122,1.354e-09,8.006e-10
1262.0,0.19,0.122,1.352e-09,7.981e-10
1264.0,0.19,0.122,1.350e-09,7.955e-10
1266.0,0.19,0.12300000000000001,1.348e-09,7.930e-10
1268.0,0.19,0.12300000000000001,1.346e-09,7.905e-10
1270.0,0.19,0.12300000000000001,1.344e-09,7.880e-10
1272.0,0.19,0.124,1.342e-09,7.856e-10
1274.0,0.19,0.124,1.339e-09,7.831e-10
1276.0,0.19,0.125,1.337e-09,7.807e-10
1278.0,0.19,0.125,1.335e-09,7.782e-10
1280.0,0.19,0.125,1.333e-09,7.758e-10
1282.0,0.19,0.126,1.331e-09,7.734e-10
1284.0,0.19,0.126,1.329e-09,7.710e-10
1286.0,0.19,0.126,1.327e-09,7.686e-10
1288.0,0.19,0.127,1.325e-09,7.662e-10
1290.0,0.19,0.127,1.323e-09,7.638e-10
1292.0,0.19,0.128,1.321e-09,7.615e-10
1294.0,0.19,0.128,1.319e-09,7.591e-10
1296.0,0.19,0.128,1.317e-09,7.568e-10
1298.0,0.19,0.129,1.315e-09,7.544e-10
1300.0,0.19,0.129,1.313e-09,7.521e-10
1302.0,0.19,0.129,1.311e-09,7.498e-10
1304.0,0.19,0.13,1.309e-09,7.475e-10
1306.0,0.19,0.13,1.307e-09,7.452e-10
1308.0,0.19,0.131,1.305e-09,7.430e-10
1310.0,0.19,0.131,1.303e-09,7.407e-10
1312.0,0.19,0.131,1.301e-09,7.384e-10
1314.0,0.19,0.132,1.299e-09,7.362e-10
1316.0,0.19,0.132,1.297e-09,7.340e-10
1318.0,0.2,0.12,1.363e-09,8.108e-10
1320.0,0.2,0.121,1.361e-09,8.083e-10
1322.0,0.2,0.121,1.359e-09,8.059e-10
1324.0,0.2,0.121,1.357e-09,8.035e-10
1326.0,0.2,0.122,1.355e-09,8.010e-10
1328.0,0.2,0.122,1.353e-09,7.986e-10
1330.0,0.2,0.122,1.351e-09,7.962e-10
1332.0,0.2,0.12300000000000001,1.349e-09,7.938e-10
1334.0,0.2,0.12300000000000001,1.347e-09,7.915e-10
1336.0,0.2,0.12300000000000001,1.345e-09,7.891e-10
1338.0,0.2,0.124,1.342e-09,7.867e-10
1340.0,0.2,0.124,1.340e-09,7.844e-10
1342.0,0.2,0.124,1.338e-09,7.821e-10
1344.0,0.2,0.125,1.337e-09,7.797e-10
1346.0,0.2,0.125,1.335e-09,7.774e-10
1348.0,0.2,0.125,1.333e-09,7.751e-10
1350.0,0.2,0.126,1.331e-09,7.728e-10
1352.0,0.2,0.126,1.329e-09,7.705e-10
1354.0,0.2,0.127,1.327e-09,7.683e-10
1356.0,0.2,0.127,1.325e-09,7.660e-10
1358.0,0.2,0.127,1.323e-09,7.638e-10
1360.0,0.2,0.128,1.321e-09,7.615e-10
1362.0,0.2,0.128,1.319e-09,7.593e-10
1364.0,0.2,0.128,1.317e-09,7.571e-10
1366.0,0.2,0.129,1.315e-09,7.548e-10
1368.0,0.2,0.129,1.313e-09,7.526e-10
1370.0,0.2,0.129,1.311e-09,7.504e-10
1372.0,0.2,0.13,1.309e-09,7.483e-10
1374.0,0.2,0.13,1.307e-09,7.461e-10
1376.0,0.2,0.131,1.305e-09,7.439e-10
1378.0,0.2,0.131,1.304e-09,7.418e-10
1380.0,0.2,0.131,1.302e-09,7.396e-10
1382.0,0.2,0.132,1.300e-09,7.375e-10
1384.0,0.2,0.132,1.298e-09,7.353e-10
1386.0,0.2,0.132,1.296e-09,7.332e-10
1388.0,0.21,0.121,1.359e-09,8.061e-10
1390.0,0.21,0.121,1.357e-09,8.037e-10
1392.0,0.21,0.122,1.355e-09,8.014e-10
1394.0,0.21,0.122,1.353e-09,7.991e-10
1396.0,0.21,0.122,1.351e-09,7.968e-10
1398.0,0.21,0.12300000000000001,1.349e-09,7.946e-10
1400.0,0.21,0.12300000000000001,1.347e-09,7.923e-10
1402.0,0.21,0.12300000000000001,1.345e-09,7.900e-10
1404.0,0.21,0.124,1.343e-09,7.878e-10
1406.0,0.21,0.124,1.341e-09,7.856e-10
1408.0,0.21,0.124,1.340e-09,7.833e-10
1410.0,0.21,0.125,1.338e-09,7.811e-10
1412.0,0.21,0.125,1.336e-09,7.789e-10
1414.0,0.21,0.125,1.334e-09,7.767e-10
1416.0,0.21,0.126,1.332e-09,7.745e-10
1418.0,0.21,0.126,1.330e-09,7.723e-10
1420.0,0.21,0.126,1.328e-09,7.702e-10
1422.0,0.21,0.127,1.326e-09,7.680e-10
1424.0,0.21,0.127,1.324e-09,7.658e-10
1426.0,0.21,0.127,1.323e-09,7.637e-10
1428.0,0.21,0.128,1.321e-09,7.616e-10
1430.0,0.21,0.128,1.319e-09,7.594e-10
1432.0,0.21,0.128,1.317e-09,7.573e-10
1434.0,0.21,0.129,1.315e-09,7.552e-10
1436.0,0.21,0.129,1.313e-09,7.531e-10
1438.0,0.21,0.129,1.312e-09,7.510e-10
1440.0,0.21,0.13,1.310e-09,7.489e-10
1442.0,0.21,0.13,1.308e-09,7.469e-10
1444.0,0.21,0.13,1.306e-09,7.448e-10
1446.0,0.21,0.131,1.304e-09,7.427e-10
1448.0,0.21,0.131,1.303e-09,7.407e-10
1450.0,0.21,0.131,1.301e-09,7.386e-10
1452.0,0.21,0.132,1.299e-09,7.366e-10
1454.0,0.21,0.132,1.297e-09,7.346e-10
1456.0,0.22,0.121,1.357e-09,8.040e-10
1458.0,0.22,0.122,1.355e-09,8.018e-10
1460.0,0.22,0.122,1.353e-09,7.996e-10
1462.0,0.22,0.122,1.351e-09,7.974e-10
1464.0,0.22,0.12300000000000001,1.350e-09,7.952e-10
1466.0,0.22,0.12300000000000001,1.348e-09,7.931e-10
1468.0,0.22,0.12300000000000001,1.346e-09,7.909e-10
1470.0,0.22,0.12300000000000001,1.344e-09,7.888e-10
1472.0,0.22,0.124,1.342e-09,7.866e-10
1474.0,0.22,0.124,1.340e-09,7.845e-10
1476.0,0.22,0.124,1.339e-09,7.824e-10
1478.0,0.22,0.125,1.337e-09,7.803e-10
1480.0,0.22,0.125,1.335e-09,7.782e-10
1482.0,0.22,0.125,1.333e-09,7.761e-10
1484.0,0.22,0.126,1.331e-09,7.740e-10
1486.0,0.22,0.126,1.330e-09,7.719e-10
1488.0,0.22,0.126,1.328e-09,7.698e-10
1490.0,0.22,0.127,1.326e-09,7.677e-10
1492.0,0.22,0.127,1.324e-09,7.657e-10
1494.0,0.22,0.127,1.323e-09,7.636e-10
1496.0,0.22,0.128,1.321e-09,7.616e-10
1498.0,0.22,0.128,1.319e-09,7.596e-10
1500.0,0.22,0.128,1.317e-09,7.576e-10
1502.0,0.22,0.129,1.316e-09,7.555e-10
1504.0,0.22,0.129,1.314e-09,7.535e-10
1506.0,0.22,0.129,1.312e-09,7.515e-10
1508.0,0.22,0.13,1.310e-09,7.495e-10
1510.0,0.22,0.13,1.309e-09,7.476e-10
1512.0,0.22,0.13,1.307e-09,7.456e-10
1514.0,0.22,0.131,1.305e-09,7.436e-10
1516.0,0.22,0.131,1.303e-09,7.417e-10
1518.0,0.22,0.131,1.302e-09,7.397e-10
1520.0,0.22,0.132,1.300e-09,7.378e-10
1522.0,0.22,0.132,1.298e-09,7.358e-10
1524.0,0.22,0.132,1.297e-09,7.339e-10
1526.0,0.23,0.122,1.354e-09,8.000e-10
1528.0,0.23,0.122,1.352e-09,7.979e-10
1530.0,0.23,0.122,1.350e-09,7.959e-10
1532.0,0.23,0.12300000000000001,1.348e-09,7.938e-10
1534.0,0.23,0.12300000000000001,1.347e-09,7.917e-10
1536.0,0.23,0.12300000000000001,1.345e-09,7.897e-10
1538.0,0.23,0.124,1.343e-09,7.876e-10
1540.0,0.23,0.124,1.341e-09,7.856e-10
1542.0,0.23,0.124,1.340e-09,7.835e-10
1544.0,0.23,0.125,1.338e-09,7.815e-10
1546.0,0.23,0.125,1.336e-09,7.795e-10
1548.0,0.23,0.125,1.334e-09,7.775e-10
1550.0,0.23,0.126,1.333e-09,7.755e-10
1552.0,0.23,0.126,1.331e-09,7.735e-10
1554.0,0.23,0.126,1.329e-09,7.715e-10
1556.0,0.23,0.127,1.328e-09,7.695e-10
1558.0,0.23,0.127,1.326e-09,7.675e-10
1560.0,0.23,0.127,1.324e-09,7.656e-10
1562.0,0.23,0.127,1.322e-09,7.636e-10
1564.0,0.23,0.128,1.321e-09,7.616e-10
1566.0,0.23,0.128,1.319e-09,7.597e-10
1568.0,0.23,0.128,1.317e-09,7.578e-10
1570.0,0.23,0.129,1.316e-09,7.558e-10
1572.0,0.23,0.129,1.314e-09,7.539e-10
1574.0,0.23,0.129,1.312e-09,7.520e-10
1576.0,0.23,0.13,1.311e-09,7.501e-10
1578.0,0.23,0.13,1.309e-09,7.482e-10
1580.0,0.23,0.13,1.307e-09,7.463e-10
1582.0,0.23,0.131,1.306e-09,7.444e-10
1584.0,0.23,0.131,1.304e-09,7.425e-10
1586.0,0.23,0.131,1.302e-09,7.407e-10
1588.0,0.23,0.132,1.301e-09,7.388e-10
1590.0,0.23,0.132,1.299e-09,7.370e-10
1592.0,0.23,0.132,1.298e-09,7.351e-10
1594.0,0.24,0.122,1.352e-09,7.984e-10
1596.0,0.24,0.122,1.351e-09,7.964e-10
1598.0,0.24,0.12300000000000001,1.349e-09,7.944e-10
1600.0,0.24,0.12300000000000001,1.347e-09,7.924e-10
1602.0,0.24,0.12300000000000001,1.346e-09,7.905e-10
1604.0,0.24,0.124,1.344e-09,7.885e-10
1606.0,0.24,0.124,1.342e-09,7.865e-10
1608.0,0.24,0.124,1.340e-09,7.846e-10
1610.0,0.24,0.125,1.339e-09,7.826e-10
1612.0,0.24,0.125,1.337e-09,7.807e-10
1614.0,0.24,0.125,1.336e-09,7.788e-10
1616.0,0.24,0.125,1.334e-09,7.768e-10
1618.0,0.24,0.126,1.332e-09,7.749e-10
1620.0,0.24,0.126,1.331e-09,7.730e-10
1622.0,0.24,0.126,1.329e-09,7.711e-10
1624.0,0.24,0.127,1.327e-09,7.692e-10
1626.0,0.24,0.127,1.326e-09,7.673e-10
1628.0,0.24,0.127,1.324e-09,7.654e-10
1630.0,0.24,0.128,1.322e-09,7.636e-10
1632.0,0.24,0.128,1.321e-09,7.617e-10
1634.0,0.24,0.128,1.319e-09,7.598e-10
1636.0,0.24,0.128,1.318e-09,7.580e-10
1638.0,0.24,0.129,1.316e-09,7.561e-10
1640.0,0.24,0.129,1.314e-09,7.543e-10
1642.0,0.24,0.129,1.313e-09,7.524e-10
1644.0,0.24,0.13,1.311e-09,7.506e-10
1646.0,0.24,0.13,1.310e-09,7.488e-10
1648.0,0.24,0.13,1.308e-09,7.470e-10
1650.0,0.24,0.131,1.306e-09,7.452e-10
1652.0,0.24,0.131,1.305e-09,7.434e-10
1654.0,0.24,0.131,1.303e-09,7.416e-10
1656.0,0.24,0.131,1.302e-09,7.398e-10
1658.0,0.24,0.132,1.300e-09,7.380e-10
1660.0,0.24,0.132,1.299e-09,7.362e-10
1662.0,0.24,0.132,1.297e-09,7.345e-10
1664.0,0.25,0.12300000000000001,1.349e-09,7.950e-10
1666.0,0.25,0.12300000000000001,1.348e-09,7.931e-10
1668.0,0.25,0.12300000000000001,1.346e-09,7.912e-10
1670.0,0.25,0.124,1.345e-09,7.893e-10
1672.0,0.25,0.124,1.343e-09,7.874e-10
1674.0,0.25,0.124,1.341e-09,7.856e-10
1676.0,0.25,0.124,1.340e-09,7.837e-10
1678.0,0.25,0.125,1.338e-09,7.818e-10
1680.0,0.25,0.125,1.337e-09,7.800e-10
1682.0,0.25,0.125,1.335e-09,7.781e-10
1684.0,0.25,0.126,1.333e-09,7.763e-10
1686.0,0.25,0.126,1.332e-09,7.744e-10
1688.0,0.25,0.126,1.330e-09,7.726e-10
1690.0,0.25,0.126,1.329e-09,7.708e-10
1692.0,0.25,0.127,1.327e-09,7.689e-10
1694.0,0.25,0.127,1.325e-09,7.671e-10
1696.0,0.25,0.127,1.324e-09,7.653e-10
1698.0,0.25,0.128,1.322e-09,7.635e-10
1700.0,0.25,0.128,1.321e-09,7.617e-10
1702.0,0.25,0.128,1.319e-09,7.599e-10
1704.0,0.25,0.128,1.318e-09,7.581e-10
1706.0,0.25,0.129,1.316e-09,7.564e-10
1708.0,0.25,0.129,1.315e-09,7.546e-10
1710.0,0.25,0.129,1.313e-09,7.528e-10
1712.0,0.25,0.13,1.312e-09,7.511e-10
1714.0,0.25,0.13,1.310e-09,7.493e-10
1716.0,0.25,0.13,1.308e-09,7.476e-10
1718.0,0.25,0.13,1.307e-09,7.459e-10
1720.0,0.25,0.131,1.305e-09,7.441e-10
1722.0,0.25,0.131,1.304e-09,7.424e-10
1724.0,0.25,0.131,1.302e-09,7.407e-10
1726.0,0.25,0.132,1.301e-09,7.390e-10
1728.0,0.25,0.132,1.299e-09,7.372e-10
1730.0,0.25,0.132,1.298e-09,7.355e-10
1732.0,0.26,0.12300000000000001,1.348e-09,7.937e-10
1734.0,0.26,0.12300000000000001,1.347e-09,7.919e-10
1736.0,0.26,0.12300000000000001,1.345e-09,7.901e-10
1738.0,0.26,0.124,1.344e-09,7.883e-10
1740.0,0.26,0.124,1.342e-09,7.865e-10
1742.0,0.26,0.124,1.340e-09,7.846e-10
1744.0,0.26,0.125,1.339e-09,7.829e-10
1746.0,0.26,0.125,1.337e-09,7.811e-10
1748.0,0.26,0.125,1.336e-09,7.793e-10
1750.0,0.26,0.125,1.334e-09,7.775e-10
1752.0,0.26,0.126,1.333e-09,7.757e-10
1754.0,0.26,0.126,1.331e-09,7.740e-10
1756.0,0.26,0.126,1.330e-09,7.722e-10
1758.0,0.26,0.127,1.328e-09,7.704e-10
1760.0,0.26,0.127,1.327e-09,7.687e-10
1762.0,0.26,0.127,1.325e-09,7.669e-10
1764.0,0.26,0.127,1.324e-09,7.652e-10
1766.0,0.26,0.128,1.322e-09,7.635e-10
1768.0,0.26,0.128,1.321e-09,7.618e-10
1770.0,0.26,0.128,1.319e-09,7.600e-10
1772.0,0.26,0.128,1.318e-09,7.583e-10
1774.0,0.26,0.129,1.316e-09,7.566e-10
1776.0,0.26,0.129,1.315e-09,7.549e-10
1778.0,0.26,0.129,1.313e-09,7.532e-10
1780.0,0.26,0.13,1.312e-09,7.515e-10
1782.0,0.26,0.13,1.310e-09,7.498e-10
1784.0,0.26,0.13,1.309e-09,7.482e-10
1786.0,0.26,0.13,1.307e-09,7.465e-10
1788.0,0.26,0.131,1.306e-09,7.448e-10
1790.0,0.26,0.131,1.305e-09,7.432e-10
1792.0,0.26,0.131,1.303e-09,7.415e-10
1794.0,0.26,0.132,1.302e-09,7.398e-10
1796.0,0.26,0.132,1.300e-09,7.382e-10
1798.0,0.26,0.132,1.299e-09,7.366e-10
1800.0,0.26,0.132,1.297e-09,7.349e-10
1802.0,0.27,0.12300000000000001,1.346e-09,7.908e-10
1804.0,0.27,0.124,1.344e-09,7.890e-10
1806.0,0.27,0.124,1.343e-09,7.873e-10
1808.0,0.27,0.124,1.341e-09,7.855e-10
1810.0,0.27,0.124,1.340e-09,7.838e-10
1812.0,0.27,0.125,1.338e-09,7.821e-10
1814.0,0.27,0.125,1.337e-09,7.804e-10
1816.0,0.27,0.125,1.335e-09,7.786e-10
1818.0,0.27,0.126,1.334e-09,7.769e-10
1820.0,0.27,0.126,1.332e-09,7.752e-10
1822.0,0.27,0.126,1.331e-09,7.735e-10
1824.0,0.27,0.126,1.329e-09,7.718e-10
1826.0,0.27,0.127,1.328e-09,7.701e-10
1828.0,0.27,0.127,1.327e-09,7.685e-10
1830.0,0.27,0.127,1.325e-09,7.668e-10
1832.0,0.27,0.127,1.324e-09,7.651e-10
1834.0,0.27,0.128,1.322e-09,7.634e-10
1836.0,0.27,0.128,1.321e-09,7.618e-10
1838.0,0.27,0.128,1.319e-09,7.601e-10
1840.0,0.27,0.128,1.318e-09,7.585e-10
1842.0,0.27,0.129,1.316e-09,7.568e-10
1844.0,0.27,0.129,1.315e-09,7.552e-10
1846.0,0.27,0.129,1.314e-09,7.536e-10
1848.0,0.27,0.13,1.312e-09,7.519e-10
1850.0,0.27,0.13,1.311e-09,7.503e-10
1852.0,0.27,0.13,1.309e-09,7.487e-10
1854.0,0.27,0.13,1.308e-09,7.471e-10
1856.0,0.27,0.131,1.307e-09,7.455e-10
1858.0,0.27,0.131,1.305e-09,7.439e-10
1860.0,0.27,0.131,1.304e-09,7.423e-10
1862.0,0.27,0.131,1.302e-09,7.407e-10
1864.0,0.27,0.132,1.301e-09,7.391e-10
1866.0,0.27,0.132,1.300e-09,7.375e-10
1868.0,0.27,0.132,1.298e-09,7.359e-10
1870.0,0.28,0.124,1.345e-09,7.897e-10
1872.0,0.28,0.124,1.343e-09,7.881e-10
1874.0,0.28,0.124,1.342e-09,7.864e-10
1876.0,0.28,0.124,1.340e-09,7.847e-10
1878.0,0.28,0.125,1.339e-09,7.830e-10
1880.0,0.28,0.125,1.338e-09,7.814e-10
1882.0,0.28,0.125,1.336e-09,7.797e-10
1884.0,0.28,0.125,1.335e-09,7.781e-10
1886.0,0.28,0.126,1.333e-09,7.764e-10
1888.0,0.28,0.126,1.332e-09,7.748e-10
1890.0,0.28,0.126,1.331e-09,7.731e-10
1892.0,0.28,0.126,1.329e-09,7.715e-10
1894.0,0.28,0.127,1.328e-09,7.699e-10
1896.0,0.28,0.127,1.326e-09,7.682e-10
1898.0,0.28,0.127,1.325e-09,7.666e-10
1900.0,0.28,0.127,1.324e-09,7.650e-10
1902.0,0.28,0.128,1.322e-09,7.634e-10
1904.0,0.28,0.128,1.321e-09,7.618e-10
1906.0,0.28,0.128,1.319e-09,7.602e-10
1908.0,0.28,0.129,1.318e-09,7.586e-10
1910.0,0.28,0.129,1.317e-09,7.570e-10
1912.0,0.28,0.129,1.315e-09,7.555e-10
1914.0,0.28,0.129,1.314e-09,7.539e-10
1916.0,0.28,0.13,1.313e-09,7.523e-10
1918.0,0.28,0.13,1.311e-09,7.507e-10
1920.0,0.28,0.13,1.310e-09,7.492e-10
1922.0,0.28,0.13,1.308e-09,7.476e-10
1924.0,0.28,0.131,1.307e-09,7.461e-10
1926.0,0.28,0.131,1.306e-09,7.445e-10
1928.0,0.28,0.131,1.304e-09,7.430e-10
1930.0,0.28,0.131,1.303e-09,7.414e-10
1932.0,0.28,0.132,1.302e-09,7.399e-10
1934.0,0.28,0.132,1.300e-09,7.384e-10
1936.0,0.28,0.132,1.299e-09,7.368e-10
1938.0,0.28,0.132,1.298e-09,7.353e-10
1940.0,0.29000000000000004,0.124,1.343e-09,7.872e-10
