Mass DM,SSHH,omega,SI 1,SI 2
128.0,0.0197,0.132,1.382e-09,8.231e-10
129.0,0.0197,0.132,1.372e-09,8.105e-10
130.0,0.0197,0.132,1.361e-09,7.982e-10
131.0,0.0197,0.132,1.351e-09,7.861e-10
132.0,0.0198,0.132,1.347e-09,7.822e-10
133.0,0.0198,0.132,1.337e-09,7.706e-10
134.0,0.0199,0.132,1.334e-09,7.669e-10
135.0,0.02,0.132,1.331e-09,7.632e-10
136.0,0.0201,0.132,1.327e-09,7.597e-10
137.0,0.0202,0.132,1.324e-09,7.562e-10
138.0,0.0203,0.132,1.321e-09,7.527e-10
139.0,0.0204,0.132,1.318e-09,7.493e-10
140.0,0.0205,0.132,1.315e-09,7.460e-10
141.0,0.0206,0.132,1.312e-09,7.427e-10
142.0,0.0207,0.132,1.309e-09,7.395e-10
143.0,0.0209,0.131,1.313e-09,7.434e-10
144.0,0.021,0.132,1.310e-09,7.402e-10
145.0,0.0211,0.132,1.307e-09,7.371e-10
146.0,0.0212,0.132,1.304e-09,7.340e-10
147.0,0.0213,0.132,1.301e-09,7.309e-10
148.0,0.0215,0.132,1.305e-09,7.348e-10
149.0,0.0216,0.132,1.302e-09,7.318e-10
150.0,0.0217,0.132,1.299e-09,7.288e-10
151.0,0.0219,0.132,1.303e-09,7.326e-10
152.0,0.022000000000000002,0.132,1.300e-09,7.296e-10
153.0,0.0221,0.132,1.297e-09,7.267e-10
154.0,0.0223,0.132,1.301e-09,7.304e-10
155.0,0.0224,0.132,1.298e-09,7.276e-10
156.0,0.0226,0.131,1.301e-09,7.312e-10
157.0,0.0227,0.132,1.299e-09,7.284e-10
158.0,0.0228,0.132,1.296e-09,7.256e-10
159.0,0.023,0.132,1.299e-09,7.292e-10
160.0,0.0231,0.132,1.297e-09,7.264e-10
161.0,0.0233,0.131,1.300e-09,7.300e-10
162.0,0.0234,0.132,1.297e-09,7.272e-10
163.0,0.0235,0.132,1.295e-09,7.245e-10
164.0,0.0237,0.132,1.298e-09,7.280e-10
165.0,0.0238,0.132,1.295e-09,7.254e-10
166.0,0.024,0.132,1.299e-09,7.288e-10
167.0,0.0241,0.132,1.296e-09,7.261e-10
168.0,0.0242,0.132,1.294e-09,7.235e-10
